亜鉛	aen	zinc
独裁	dokusai	dictatorship
独走	dokusoo	running alone
独身	dokusin	bachelorhood
独創	dokusoo	originality
独断	dokudan	one's own judgement
独演	dokuen	solo
独学	dokugaku	self-education
独居	dokkyo	solitude
独善	dokuzen	self-righteousness
独唱	dokusyoo	vocal solo
独房	dokuboo	single cell
独力	dokuryoku	one's own effort
独白	dokuhaku	monologue
独奏	dokusoo	solo
独歩	doppo	walking alone
独語	dokugo	monologue
独楽	koma	spinning top
独行	dokkoo	going alone
独習	dokusyuu	self-study
独立	dokuritu	independence
独吟	dokugin	vocal solo
独得	dokutoku	learning by oneself
独鈷	tokko	single-pronged vajra
独酌	dokusyaku	drinking alone
独活	udo	
独眼	dokugan	one-eyed
独座	dokuza	sitting alone
単独	tandoku	sole
孤独	kodoku	isolation
孤独	kodoku	isolation
凸凹	dekoboko	unevenness
凸版	toppan	letterpress
凸面	totumen	convex surface
凹凸	oototu	unevenness
屯田	tonden	colonization
屯所	tonsyo	post
駐屯	tyuuton	stationing
豚肉	butaniku	pork
豚汁	tonziru	pork miso soup
豚骨	tonkotu	dish made with pork belly and bones, simmered with miso, sake, vegetables, etc. 
豚舎	tonsya	pigpen
豚児	tonzi	my child
養豚	yooton	pig-keeping
酢豚	subuta	sweet-and-sour pork
河豚	hugu	puffer fish
焼豚	yakibuta	roast pork
海豚	iruka	dolphin
旦那	danna	master
刹那	setuna	moment
檀那	danna	master
奈落	naraku	hell
梨園	rien	theatrical world
梨地	nasizi	nashiji
花梨	karin	Burmese rosewood
洋梨	yoonasi	European pear
尼僧	nisoo	nun
尼寺	amadera	nunnery
禅尼	zenni	Zen nun
僧尼	sooni	monks and nuns
虹彩	koosai	iris
虹鱒	nizimasu	rainbow trout
尿道	nyoodoo	urethra
尿素	nyooso	urea
尿意	nyooi	the urge to urinate
尿瓶	sibin	urine bottle
糖尿	toonyoo	glycosuria
排尿	hainyoo	urination
利尿	rinyoo	diuresis
採尿	sainyoo	urine sampling
血尿	ketunyoo	bloody urine
糞尿	hunnyoo	feces and urine
検尿	kennyoo	urinalysis
放尿	hoonyoo	urination
屎尿	sinyoo	excreta
泌尿	hinyoo	urination
妊娠	ninsin	conception
妊婦	ninpu	pregnant woman
不妊	hunin	infertility
避妊	hinin	contraception
懐妊	kainin	pregnancy
忍耐	nintai	endurance
忍者	ninzya	ninja
忍術	ninzyutu	ninjutsu
忍従	ninzyuu	submission
忍法	ninpoo	ninja arts
忍冬	suikazura	Japanese honeysuckle
忍受	ninzyu	enduring and accepting
忍苦	ninku	endurance
残忍	zannin	cruelty
残忍	zannin	cruelty
堪忍	kannin	pardon
隠忍	innin	patience
堅忍	kennin	perseverance
軒忍	nokisinobu	Lepisorus thunbergiana
寧日	neizitu	peaceful day
丁寧	teinei	polite
丁寧	teinei	polite
安寧	annei	peace
粘着	nentyaku	cohesion
粘土	nendo	clay
粘膜	nenmaku	mucous membrane
粘液	neneki	mucus
粘性	nensei	viscosity
納得	nattoku	consent
納税	noozei	payment of taxes
納付	noohu	payment
納入	noonyuu	payment
納豆	nattoo	natto
納品	noohin	delivery of goods
納骨	nookotu	ashes to rest
納期	nooki	appointed day of delivery
納涼	nooryoo	cool of the evening
納棺	nookan	placing of body in coffin
納車	noosya	delivery of a vehicle
納屋	naya	shed
納金	nookin	payment
納戸	nando	back room
納采	noosai	betrothal gift
納会	nookai	the last meeting
納本	noohon	delivery of books
納所	nassyo	temple office
納札	noosatu	votive card or tablet
納受	noozyu	acceptance
未納	minoo	payment default
収納	syuunoo	crop
滞納	tainoo	non-payment
返納	hennoo	returning
奉納	hoonoo	dedication
出納	suitoo	receipts and expenditure
上納	zyoonoo	payment to the government
格納	kakunoo	storage
金納	kinnoo	cash payment
嘉納	kanoo	accepting with pleasure
前納	zennoo	prepayment
結納	yuinoo	engagement gift
別納	betunoo	separate payment
物納	butunoo	payment in kind
完納	kannoo	full payment or delivery
分納	bunnoo	installment payment or delivery
献納	kennoo	offering
延納	ennoo	deferred payment
後納	koonoo	deferred payment
帰納	kinoo	induction
全納	zennoo	full payment
予納	yonoo	advance payment
笑納	syoonoo	please accept
即納	sokunoo	prompt payment or delivery
把握	haaku	grasp
把持	hazi	grasp
把手	totte	handle
派遣	haken	dispatch
派閥	habatu	clique
派手	hade	showy
派兵	hahei	dispatch of troops
派生	hasei	derivation
派出	hasyutu	sending out
会派	kaiha	faction
立派	rippa	splendid
左派	saha	left wing
右派	uha	right wing
増派	zooha	reinforcements
同派	dooha	same sect
特派	tokuha	send specially
各派	kakuha	each party
党派	tooha	faction
宗派	syuuha	sect
諸派	syoha	various parties or factions
硬派	kooha	tough elements
新派	sinpa	new school
分派	bunpa	denominations
流派	ryuuha	school
一派	ippa	school
学派	gakuha	school
他派	taha	the other group
軟派	nanpa	seducer
急派	kyuuha	dispatch
教派	kyooha	sect
旧派	kyuuha	old school
覇者	hasya	supreme ruler
覇権	haken	hegemony
覇気	haki	ambition
覇王	haoo	supreme ruler
覇道	hadoo	military rule
連覇	renpa	successive championships
制覇	seiha	conquest
争覇	sooha	contending for victory
老婆	rooba	old woman
産婆	sanba	midwife
娑婆	syaba	this world
塔婆	tooba	stupa
鬼婆	onibaba	hag
肺炎	haien	pneumonia
肺癌	haigan	lung cancer
肺病	haibyoo	lung disease
肺患	haikan	lung disease
肺腑	haihu	lungs
肺臓	haizoo	lungs
肺魚	haigyo	lungfish
肺尖	haisen	pulmonary apex
心肺	sinpai	heart and lungs
珪肺	keihai	silicosis
塵肺	zinpai	pneumoconiosis
俳優	haiyuu	actor
俳句	haiku	haiku
俳人	haizin	haiku poet
俳壇	haidan	the world of the haiku
俳諧	haikai	haikai
俳号	haigoo	pseudonym of a haiku poet
俳文	haibun	prose with a poetic haiku flavor
俳聖	haisei	famous haiku poet
俳画	haiga	briefly drawn picture
俳味	haimi	subdued taste
俳風	haihuu	style of a haikai or haiku poem
雑俳	zappai	playful literature originating from haiku
排出	haisyutu	evacuation
排除	haizyo	exclusion
排水	haisui	drainage
排気	haiki	exhaust
排他	haita	exclusion
排斥	haiseki	rejection
排卵	hairan	ovulation
排便	haiben	defecation
排外	haigai	anti-foreign
排尿	hainyoo	urination
排泄	haisetu	excretion
排撃	haigeki	rejection
排日	hainiti	anti-Japanese
排球	haikyuu	volleyball
廃止	haisi	abolition
廃棄	haiki	disposal
廃絶	haizetu	extinction
廃案	haian	rejected bill
廃業	haigyoo	cessation of business
廃部	haibu	abolished club
廃虚	haikyo	ruins
廃校	haikoo	abolition or closing of a school
廃材	haizai	scrap wood
廃車	haisya	decommissioned vehicle
廃液	haieki	waste liquid
廃品	haihin	waste
廃墟	haikyo	ruins
廃刊	haikan	ceasing to publish
廃屋	haioku	dilapidated house
廃家	haika	deserted house
廃油	haiyu	waste oil
廃水	haisui	wastewater
廃寺	haizi	ruined temple
廃人	haizin	cripple
廃物	haibutu	scrap
廃坑	haikoo	abandoned mine
廃園	haien	neglected or abandoned garden
廃鉱	haikoo	abandoned mine
廃盤	haiban	out-of-print record
廃語	haigo	obsolete word
廃位	haii	dethronement
廃退	haitai	decay
廃嫡	haityaku	disinheritance
廃帝	haitei	dethroned emperor or king
廃山	haizan	abandoned mine
廃兵	haihei	disabled soldier
撤廃	teppai	annulment
産廃	sanpai	industrial waste
全廃	zenpai	total abolition
荒廃	koohai	ruin
改廃	kaihai	change
退廃	taihai	degeneration
老廃	roohai	superannuation
頽廃	taihai	degeneration
興廃	koohai	rise and fall
輩出	haisyutu	turning out in great numbers
先輩	senpai	senior
後輩	koohai	junior
吾輩	wagahai	I
同輩	doohai	fellows
若輩	zyakuhai	young person
年輩	nenpai	elderly
我輩	wagahai	I
朋輩	hoobai	comrade
軽輩	keihai	underling
老輩	roohai	the aged
梅雨	tuyu	rainy season
梅酒	umesyu	ume liqueur
梅林	bairin	grove
梅毒	baidoku	syphilis
梅酢	umezu	plum vinegar
梅干	umebosi	dried plum
梅桃	yusuraume	Nanking cherry
梅暦	umegoyomi	plum blossoms
青梅	aoume	unripe plum
紅梅	koobai	red-blossomed plum tree
白梅	hakubai	white plum blossoms
塩梅	anbai	seasoning
黄梅	oobai	winter jasmine
寒梅	kanbai	plum tree which blossoms in winter
入梅	nyuubai	entering the rainy season
蝋梅	roobai	wintersweet
臘梅	roobai	wintersweet
培養	baiyoo	cultivation
培地	baiti	culture medium
栽培	saibai	cultivation
陪審	baisin	jury
陪席	baiseki	sitting with one's superior
陪臣	baisin	rear vassal
媒体	baitai	media
媒介	baikai	intermediary
媒酌	baisyaku	matchmaking
媒染	baisen	color fixing
触媒	syokubai	catalyst
冷媒	reibai	refrigerant
溶媒	yoobai	solvent
霊媒	reibai	spirit medium
賠償	baisyoo	reparations
伯父	ozi	uncle
伯母	oba	aunt
伯仲	hakutyuu	matching someone
伯爵	hakusyaku	count
伯楽	bakuroo	cattle or horse trader
画伯	gahaku	master painter
拍手	hakusyu	clapping hands
拍車	hakusya	spur
拍子	hyoosi	time
心拍	sinpaku	heart rate
脈拍	myakuhaku	pulse
一拍	ippaku	one clap
迫力	hakuryoku	force
迫害	hakugai	persecution
迫撃	hakugeki	close attack
迫真	hakusin	reality
脅迫	kyoohaku	threat
圧迫	appaku	pressure
緊迫	kinpaku	tension
気迫	kihaku	spirit
切迫	seppaku	pressure
逼迫	hippaku	stringency
強迫	kyoohaku	compelling
急迫	kyuuhaku	urgency
窮迫	kyuuhaku	financial difficulty
舶来	hakurai	imported
舶載	hakusai	ocean transportation
船舶	senpaku	ship
博士	hakase	doctorate
博覧	hakuran	extensive reading
博物	hakubutu	wide learning
博愛	hakuai	charity
博大	hakudai	large and wide
博徒	bakuto	gambler
博識	hakusiki	extensive knowledge
博識	hakusiki	extensive knowledge
博打	bakuti	gambling
博学	hakugaku	erudition
博学	hakugaku	erudition
博雅	hakuga	well-informed
博奕	bakuti	gambling
博大	hakudai	large and wide
博労	bakuroo	cattle or horse trader
博引	hakuin	extensive references
万博	banpaku	world fair
賭博	tobaku	gambling
該博	gaihaku	profundity
漠然	bakuzen	obscure
漠々	bakubaku	vast
砂漠	sabaku	desert
沙漠	sabaku	desert
茫漠	boobaku	boundless
索漠	sakubaku	dreary
茫漠	boobaku	boundless
空漠	kuubaku	vast
広漠	koobaku	vast
呪縛	zyubaku	curse
束縛	sokubaku	restraint
緊縛	kinbaku	bind tightly
捕縛	hobaku	arrest
自縛	zibaku	being circumscribed by one's own words and actions
就縛	syuubaku	being put in bonds
鉢物	hatimono	food served in bowls
鉢巻	hatimaki	headband
鉢植	hatiue	potted plant
火鉢	hibati	brazier
小鉢	kobati	small bowl
托鉢	takuhatu	"monk's ""begging"""
衣鉢	ihatu	mysteries of one's master's art
乳鉢	nyuubati	mortar
捨鉢	sutebati	desperation
擂鉢	suribati	mortar
伐採	bassai	lumbering
伐木	batuboku	felling
間伐	kanbatu	periodic thinning
殺伐	satubatu	bloodthirsty
征伐	seibatu	conquest
殺伐	satubatu	bloodthirsty
討伐	toobatu	subjugation
乱伐	ranbatu	reckless deforestation
盗伐	toobatu	secretly felling trees
誅伐	tyuubatu	assailing criminals
罰金	bakkin	fine
罰則	bassoku	punishment
罰点	batten	cross mark
処罰	syobatu	punishment
厳罰	genbatu	severe punishment
懲罰	tyoobatu	discipline
刑罰	keibatu	judgement
体罰	taibatu	corporal punishment
天罰	tenbatu	divine punishment
重罰	zyuubatu	heavy punishment
賞罰	syoobatu	rewards and punishments
神罰	sinbatu	divine punishment
仏罰	butubatu	punishment by Buddha
派閥	habatu	clique
財閥	zaibatu	zaibatsu
軍閥	gunbatu	military clique or party
学閥	gakubatu	alma mater clique
藩閥	hanbatu	clanship
門閥	monbatu	lineage
帆船	hansen	sailing ship
帆布	honuno	sailcloth
帆走	hansoo	sailing
帆柱	hobasira	mast
真帆	maho	spread-out sail
出帆	syuppan	sailing
帰帆	kihan	returning sailboat
白帆	siraho	white sail
孤帆	kohan	solitary sailboat
片帆	kataho	close-haul
伴奏	bansoo	accompaniment
伴走	bansoo	running alongside
伴侶	hanryo	companion
伴僧	bansoo	priests assisting at a Buddhist service
同伴	doohan	to accompany
随伴	zuihan	attendance
相伴	syooban	partaking
接伴	seppan	entertain
班長	hantyoo	squad leader
首班	syuhan	head
湖畔	kohan	lake shore
河畔	kahan	riverside
池畔	tihan	near the pond
橋畔	kyoohan	approach to a bridge
搬送	hansoo	transportation
搬入	hannyuu	taking in
搬出	hansyutu	carry out
運搬	unpan	transport
伝搬	denpan	transmission
煩雑	hanzatu	complex
煩悩	bonnoo	worldly desires
煩雑	hanzatu	complex
煩悶	hanmon	worry
煩瑣	hansa	vexatious
頒布	hanpu	distribution
頒価	hanka	distribution price
範囲	hani	extent
範疇	hantyuu	category
規範	kihan	model
広範	koohan	wide
典範	tenpan	model
模範	mohan	exemplar
師範	sihan	instructor
垂範	suihan	setting an example
教範	kyoohan	teaching method
繁栄	hanei	prospering
繁殖	hansyoku	breed
繁華	hanka	bustle
繁盛	hanzyoo	prosperity
繁昌	hanzyoo	prosperity
繁忙	hanboo	pressure of business
繁忙	hanboo	pressure of business
繁茂	hanmo	luxuriant growth
繁華	hanka	bustle
繁雑	hanzatu	complex
繁閑	hankan	press and slack of business
繁多	hanta	extreme busyness
頻繁	hinpan	frequent
頻繁	hinpan	frequent
藩主	hansyu	feudal lord
藩士	hansi	feudal retainer or warrior
藩校	hankoo	clan school
藩閥	hanbatu	clanship
藩邸	hantei	residence maintained by a daimyo in Edo
藩札	hansatu	currency issued by a feudal clan
藩侯	hankoo	feudal lord
藩儒	hanzyu	scholar retained by a feudal lord or daimyo
脱藩	dappan	becoming a lordless samurai
雄藩	yuuhan	barony of the first degree
列藩	reppan	many feudal clans
旧藩	kyuuhan	former clan
親藩	sinpan	feudal domain owned by a Tokugawa family branch
大藩	taihan	large feudal domain
蛮行	bankoo	act of barbarity
蛮勇	banyuu	foolhardiness
蛮声	bansei	rough voice
蛮族	banzoku	savage tribe
蛮夷	bani	savages
蛮風	banpuu	barbarous customs
野蛮	yaban	savage
南蛮	nanban	southern barbarians
野蛮	yaban	savage
盤石	banzyaku	huge rock
盤面	banmen	surface of a board or record
基盤	kiban	foundation
終盤	syuuban	endgame
序盤	zyoban	
中盤	tyuuban	middle
地盤	ziban	ground
大盤	ooban	demonstration board
骨盤	kotuban	pelvis
岩盤	ganban	bedrock
胎盤	taiban	placenta
碁盤	goban	Go board
鍵盤	kenban	keyboard
円盤	enban	disk
落盤	rakuban	cave-in
旋盤	senban	lathe
路盤	roban	roadbed
銀盤	ginban	silver plate
吸盤	kyuuban	suction pad
原盤	genban	original recording
水盤	suiban	flower basin
廃盤	haiban	out-of-print record
算盤	soroban	abacus
音盤	onban	disk
新盤	sinban	new record
石盤	sekiban	slate
王妃	oohi	queen
后妃	koohi	queen
批判	hihan	criticism
批准	hizyun	ratification
批評	hihyoo	criticism
批難	hinan	criticism
披露	hiroo	announcement
披瀝	hireki	express one's opinion
披講	hikoo	introduction of poems at a poetry party
直披	zikihi	personal
肥満	himan	corpulence
肥料	hiryoo	manure
肥大	hidai	swell
肥育	hiiku	fattening
肥厚	hikoo	thickening
肥沃	hiyoku	fertility
肥沃	hiyoku	fertility
堆肥	taihi	compost
液肥	ekihi	liquid fertilizer
追肥	tuihi	extra fertilizer or manure
施肥	sehi	manuring
馬肥	umagoyasi	toothed medick
下肥	simogoe	manure
緑肥	ryokuhi	green manure
寒肥	kangoe	winter manure
金肥	kanegoe	chemical fertilizer
魚肥	gyohi	fertilizer made from fish parts
求肥	gyuuhi	type of soft Japanese confectionery made with rice flour
卑劣	hiretu	mean
卑屈	hikutu	menial
卑下	hige	self-abasement
卑怯	hikyoo	cowardice
卑怯	hikyoo	cowardice
卑小	hisyoo	petty
卑俗	hizoku	vulgarity
卑近	hikin	common
卑猥	hiwai	indecent
卑属	hizoku	lineal descendants
卑語	higo	vulgar expression
卑近	hikin	common
卑見	hiken	my humble opinion
野卑	yahi	vulgar
野卑	yahi	vulgar
尊卑	sonpi	high and low
秘書	hisyo	secretary
秘密	himitu	secret
秘匿	hitoku	hiding
秘話	hiwa	secret story
秘訣	hiketu	secret
秘策	hisaku	secret plan or measures
秘境	hikyoo	unexplored region
秘蔵	hizoo	treasure
秘伝	hiden	secret
秘密	himitu	secret
秘録	hiroku	secret notes
秘仏	hibutu	Buddhist image normally withheld from public view
秘宝	hihoo	treasure
秘術	hizyutu	secret art
秘史	hisi	hidden or secret history
秘法	hihoo	secret formula
秘薬	hiyaku	nostrum
秘技	higi	secret technique
秘曲	hikyoku	secret music
秘中	hityuu	in secret
秘教	hikyoo	esoteric religion
秘奥	hioo	secrets
秘本	hihon	treasured book
秘跡	hiseki	sacrament
秘蹟	hiseki	sacrament
秘鑰	hiyaku	secret key
神秘	sinpi	mystery
極秘	gokuhi	absolute secrecy
便秘	benpi	constipation
黙秘	mokuhi	keep silent
極秘	gokuhi	absolute secrecy
厳秘	genpi	strict secret
扉絵	tobirae	frontispiece
門扉	monpi	of a gate
鉄扉	teppi	iron door
碑文	hibun	inscription
碑石	hiseki	stone monument
碑銘	himei	inscription
石碑	sekihi	stone monument
歌碑	kahi	tanka inscription
句碑	kuhi	slab with a haiku cut on it
墓碑	bohi	gravestone
詩碑	sihi	poem inscribed on monument
建碑	kenpi	erection of a monument
口碑	koohi	oral tradition
断碑	danpi	broken stone monument
罷免	himen	dismissal
罷業	higyoo	strike
避難	hinan	taking refuge
避妊	hinin	contraception
避暑	hisyo	summering
避寒	hikan	wintering
回避	kaihi	evasion
退避	taihi	taking refuge
忌避	kihi	evasion
逃避	toohi	escape
隠避	inpi	helping a criminal to avoid arrest
待避	taihi	shelter
尾籠	oko	foolish thing
尾根	one	ridge
尾行	bikoo	shadow
尾翼	biyoku	tail
尾花	obana	Japanese pampas grass
尾長	onaga	azure-winged magpie
尾羽	oha	tail and feathers
尾灯	bitoo	tail-light
尾骨	bikotu	coccyx
尾鰭	obire	caudal fin
末尾	matubi	end
追尾	tuibi	following
後尾	koobi	the rear
船尾	senbi	stern of a ship
交尾	koobi	copulation
語尾	gobi	end of a word
首尾	syubi	issue
尻尾	sippo	tail
鴟尾	sibi	ornamental ridge-end tile
掉尾	tyoobi	final effort
接尾	setubi	suffix
鳶尾	itihatu	wall iris
大尾	taibi	end
鳩尾	mizuoti	pit of the stomach
驥尾	kibi	leader
眉間	miken	brow
眉毛	mayuge	eyebrows
眉目	bimoku	face
眉根	mayune	part of the eyebrow closest to the nose
眉宇	biu	brow
白眉	hakubi	fine example
焦眉	syoobi	emergency
愁眉	syuubi	worried look
柳眉	ryuubi	beautiful eyebrows
微妙	bimyoo	delicate
微量	biryoo	minuscule amount
微増	bizoo	slight increase
微細	bisai	minute
微笑	bisyoo	smile
微減	bigen	slight reduction
微動	bidoo	slight tremor
微小	bisyoo	microscopic
微小	bisyoo	microscopic
微熱	binetu	slight fever
微弱	bizyaku	feeble
微罪	bizai	minor offense
微風	bihuu	gentle breeze
微力	biryoku	poor ability
微塵	mizin	particle
微分	bibun	differential
微粉	bihun	powder
微温	bion	lukewarmness
微少	bisyoo	infinitesimal
微力	biryoku	poor ability
微細	bisai	minute
微光	bikoo	faint light
微震	bisin	slight earthquake
微吟	bigin	reciting poetry or singing in a soft voice
微雨	biu	light rain
微弱	bizyaku	feeble
微禄	biroku	small stipend
微傷	bisyoo	slight wound
微速	bisoku	very slow speed
微々	bibi	slight
微行	bikoo	traveling incognito
微少	bisyoo	infinitesimal
軽微	keibi	slight
機微	kibi	subtleties
顕微	kenbi	microscopic
軽微	keibi	slight
極微	gokubi	microscopic
極微	kyokubi	microscopic
隠微	inbi	obscurity
衰微	suibi	decline
泌尿	hinyoo	urination
分泌	bunpitu	secretion
姫君	himegimi	daughter of a person of high rank
姫鱒	himemasu	kokanee
美姫	biki	beautiful maiden
歌姫	utahime	songstress
舞姫	maihime	female dancer
織姫	orihime	woman textile worker
乙姫	otohime	youngest princess
土俵	dohyoo	arena, esp. in sumo
桟俵	sandawara	straw lid covering either end of a rice container
票田	hyooden	constituency
票数	hyoosuu	vote tally
票決	hyooketu	vote
投票	toohyoo	voting
得票	tokuhyoo	number of votes polled
開票	kaihyoo	counting ballots
伝票	denpyoo	chit
白票	hakuhyoo	blank ballot
満票	manpyoo	unanimously
死票	sihyoo	useless vote
原票	genpyoo	stub
軍票	gunpyoo	military scrip
証票	syoohyoo	certificate
青票	seihyoo	blue ballot
帳票	tyoohyoo	report
付票	huhyoo	tag or label
散票	sanpyoo	scattered votes
評価	hyooka	valuation
評論	hyooron	criticism
評議	hyoogi	conference
評判	hyooban	fame
評伝	hyooden	a critical biography
評決	hyooketu	decision
評定	hyoozyoo	council
評者	hyoosya	critic
評点	hyooten	comments and marks
評言	hyoogen	comment
評釈	hyoosyaku	commentary
評語	hyoogo	critical remarks
好評	koohyoo	popularity
批評	hihyoo	criticism
書評	syohyoo	book review
論評	ronpyoo	comment
定評	teihyoo	established opinion
時評	zihyoo	commentary on current events
講評	koohyoo	criticism
風評	huuhyoo	rumor
酷評	kokuhyoo	severe criticism
不評	huhyoo	bad reputation
選評	senpyoo	selection and commentary
寸評	sunpyoo	brief review
総評	soohyoo	general comment
月評	geppyoo	monthly review
悪評	akuhyoo	bad reputation
品評	hinpyoo	estimation
劇評	gekihyoo	drama criticism
世評	sehyoo	reputation
合評	gappyoo	joint review
短評	tanpyoo	brief comment or criticism
衆評	syuuhyoo	public opinion
高評	koohyoo	high reputation
概評	gaihyoo	general view
戯評	gihyoo	humorous comments
冷評	reihyoo	sarcasm
漂流	hyooryuu	drifting
漂着	hyootyaku	drifting ashore
漂白	hyoohaku	blanching
漂泊	hyoohaku	roaming
標準	hyoozyun	standard
標的	hyooteki	target
標高	hyookoo	elevation
標識	hyoosiki	sign
標本	hyoohon	example
標語	hyoogo	motto
標榜	hyooboo	advocate
標題	hyoodai	title
標示	hyoozi	indication
標記	hyooki	subject
標札	hyoosatu	nameplate
標目	hyoomoku	entry heading
目標	mokuhyoo	mark
指標	sihyoo	index
商標	syoohyoo	trademark
墓標	bohyoo	grave-marker
道標	doohyoo	guidepost
澪標	miotukusi	marks in a water channel
座標	zahyoo	coordinate
浮標	huhyoo	buoy
路標	rohyoo	road sign
苗木	naegi	seedling
苗代	nawasiro	rice nursery
苗床	naedoko	nursery
苗字	myoozi	surname
苗圃	byooho	seedbed
種苗	syubyoo	seeds and seedlings
早苗	sanae	rice seedlings
育苗	ikubyoo	raising seedlings
描写	byoosya	depiction
描出	byoosyutu	description
描画	byooga	drawing
素描	sobyoo	drawing
点描	tenbyoo	sketching
線描	senbyoo	line drawing
白描	hakubyoo	plain sketch
寸描	sunbyoo	thumbnail sketch
粗描	sobyoo	rough sketch
素描	sugaki	uncolored sketch
浜辺	hamabe	beach
浜手	hamate	place near the beach
砂浜	sunahama	sandy beach
海浜	kaihin	seaside
洲浜	suhama	sandy beach
賓客	hinkyaku	guest of honour
来賓	raihin	guest
国賓	kokuhin	state guest
貴賓	kihin	noble visitor
主賓	syuhin	main guest
迎賓	geihin	welcoming honored guests
外賓	gaihin	foreign guest
頻繁	hinpan	frequent
頻発	hinpatu	frequency
頻度	hindo	frequency
頻出	hinsyutu	common
頻繁	hinpan	frequent
頻々	hinpin	frequently
敏感	binkan	sensibility
敏感	binkan	sensibility
敏腕	binwan	capable
敏腕	binwan	capable
敏速	binsoku	quickness
敏捷	binsyoo	nimble
敏捷	binsyoo	nimble
敏速	binsoku	quickness
敏活	binkatu	quickness
過敏	kabin	nervousness
機敏	kibin	clever
過敏	kabin	nervousness
鋭敏	eibin	sharpness
俊敏	syunbin	quick-witted and agile
機敏	kibin	clever
明敏	meibin	intelligence
不敏	hubin	inability
扶養	huyoo	support
扶助	huzyo	aid
扶桑	husoo	land east of China
扶持	huti	ration
扶翼	huyoku	assistance
扶植	husyoku	implantation
附属	huzoku	attached
附子	husi	sumac gallnut
附則	husoku	supplementary provisions
附近	hukin	neighbourhood
附録	huroku	appendix
附帯	hutai	incidental
附記	huki	addition
附言	hugen	saying in addition
附図	huzu	attached map, plan, diagram or chart
寄附	kihu	contribution
赴任	hunin	moving to a different location to start a new job
腐敗	huhai	decomposition
腐心	husin	taking pains to
腐食	husyoku	corrosion
腐乱	huran	decomposition
腐臭	husyuu	smell of something rotten
腐蝕	husyoku	corrosion
腐朽	hukyuu	deterioration
腐肉	huniku	tainted meat
腐植	husyoku	humus
腐儒	huzyu	pedant
腐爛	huran	ulcerate
豆腐	toohu	tofu
防腐	boohu	preservation
陳腐	tinpu	stale
敷地	sikiti	site
敷設	husetu	laying
敷居	sikii	threshold
敷金	sikikin	deposit
敷島	sikisima	Yamato
敷石	sikiisi	paving stone
敷物	sikimono	carpet
敷衍	huen	expatiation
敷布	sikihu	sheet
敷板	sikiita	floorboard
敷皮	sikigawa	fur rug
屋敷	yasiki	residence
座敷	zasiki	tatami room
桟敷	saziki	reviewing stand
下敷	sitaziki	desk pad
金敷	kanasiki	anvil
折敷	osiki	wooden tray
板敷	itaziki	wooden floor
賦課	huka	levy
賦活	hukatu	activation
賦役	hueki	slave labour
賦与	huyo	being endowed with
割賦	kappu	allotment
天賦	tenpu	natural talent
月賦	geppu	monthly installment
年賦	nenpu	annual installment
譜面	humen	music
譜代	hudai	successive generations
楽譜	gakuhu	score
棋譜	kihu	record of a game of go, shogi, chess, etc.
系譜	keihu	genealogy
新譜	sinpu	record
年譜	nenpu	chronological record
総譜	soohu	full musical score
図譜	zuhu	illustrated reference book
暗譜	anpu	memorizing musical scores
採譜	saihu	writing melody on music paper
印譜	inpu	book of seals
音譜	onpu	music
曲譜	kyokuhu	musical composition
侮辱	buzyoku	insult
侮蔑	bubetu	scorn
侮言	bugen	insult
軽侮	keibu	contempt
伏兵	hukuhei	ambush
伏線	hukusen	preparation
伏射	hukusya	shooting lying prone
伏流	hukuryuu	subterranean stream
伏屋	huseya	humble cottage
伏在	hukuzai	lying concealed
伏目	husime	downcast look
潜伏	senpuku	concealment
起伏	kihuku	undulation
山伏	yamabusi	mountain priest
雌伏	sihuku	remaining in obscurity
平伏	heihuku	falling prostrate
倒伏	toohuku	falling down
調伏	tyoobuku	curse
屈伏	kuppuku	yielding
折伏	syakubuku	preaching down
埋伏	maihuku	impaction
覆面	hukumen	mask
覆土	hukudo	covering seeds with soil
覆輪	hukurin	ornamental border
覆滅	hukumetu	ruination
覆刻	hukkoku	republishing
転覆	tenpuku	capsizing
被覆	hihuku	coating
反覆	hanpuku	repetition
顛覆	tenpuku	capsizing
紛争	hunsoo	dispute
紛失	hunsitu	losing something
紛糾	hunkyuu	complication
紛々	hunpun	confusion
紛議	hungi	dissension
紛乱	hunran	confusion
内紛	naihun	domestic discord
噴火	hunka	eruption
噴出	hunsyutu	spewing
噴射	hunsya	jet
噴煙	hunen	smoke
噴水	hunsui	water fountain
噴霧	hunmu	spraying
噴気	hunki	gas
噴飯	hunpan	bursting out laughing
噴流	hunryuu	jet
噴門	hunmon	cardia
自噴	zihun	gushing forth
墳丘	hunkyuu	tumulus
墳墓	hunbo	grave
古墳	kohun	ancient burial mound
方墳	hoohun	flat-topped burial mound
憤慨	hungai	indignation
憤死	hunsi	dying in a fit of anger or indignation
憤激	hungeki	fury
憤怒	hundo	anger
憤然	hunzen	anger
憤懣	hunman	anger
憤怒	hunnu	anger
悲憤	hihun	indignation
義憤	gihun	righteous indignation
鬱憤	uppun	resentment
私憤	sihun	personal grudge
公憤	koohun	public indignation
痛憤	tuuhun	strong indignation
発憤	happun	inspired
激憤	gekihun	resentment
奮闘	huntoo	hard struggle
奮起	hunki	stirring
奮戦	hunsen	hard fighting
奮発	hunpatu	strenuous exertion
奮迅	hunzin	impetuous dash forward
奮励	hunrei	strenuous efforts
興奮	koohun	excitement
