一部	itibu	one part
上紙	uwagami	paper cover
上乗	zyoozyoo	the best
上船	zyoosen	embarking
上塗	uwanuri	coat
上聞	zyoobun	an imperial hearing
上諭	zyooyu	imperial edict
以上	izyoo	not less than
陸上	rikuzyoo	land
史上	sizyoo	historical
売上	uriage	amount sold
向上	koozyoo	elevation
浮上	huzyoo	surfacing
海上	kaizyoo	sea
途上	tozyoo	en route
地上	tizyoo	above ground
路上	rozyoo	road
返上	henzyoo	give up
屋上	okuzyoo	rooftop
炎上	enzyoo	blazing up
北上	hokuzyoo	going north
左上	hidariue	left-upper
至上	sizyoo	supremacy
頂上	tyoozyoo	top
席上	sekizyoo	at the meeting
年上	tosiue	older
頭上	zuzyoo	overhead
紙上	sizyoo	on paper
洋上	yoozyoo	on the sea or ocean
右上	migiue	right-upper
水上	suizyoo	aquatic
身上	sinzyoo	merit
壇上	danzyoo	on a stage
献上	kenzyoo	presenting to
机上	kizyoo	on the desk
口上	koozyoo	vocal message
線上	senzyoo	on the line
床上	yukaue	on a floor
船上	senzyoo	on board
最上	saizyoo	best
卓上	takuzyoo	desktop
東上	toozyoo	going to Tokyo
真上	maue	just above
天上	tenzyoo	the heavens
堂上	doozyoo	on the roof
雪上	setuzyoo	on the snow
風上	kazakami	windward
誌上	sizyoo	in a magazine
同上	doozyoo	same as above
極上	gokuzyoo	first-rate
遡上	sozyoo	going upstream
艦上	kanzyoo	aboard a warship
山上	sanzyoo	mountain top
逆上	gyakuzyoo	frenzy
目上	meue	superior
最上	saizyoo	best
湖上	kozyoo	on the lake
父上	titiue	father
機上	kizyoo	aboard an aeroplane
階上	kaizyoo	an upper floor
砂上	sazyoo	on sand
参上	sanzyoo	calling on
母上	hahaue	mother
雲上	unzyoo	above the clouds
無上	muzyoo	best
世上	sezyoo	the world
股上	matagami	waist
途上	tozyoo	en route
市上	sizyoo	in the town
直上	tyokuzyoo	above
今上	kinzyoo	the reigning emperor
言上	gonzyoo	telling
進上	sinzyoo	giving
値上	neage	price hike
御上	okami	Emperor
仕上	siage	end
殿上	tenzyoo	the court
聖上	seizyoo	the emperor
史上	sizyoo	historical
主上	syuzyoo	emperor
如上	zyozyoo	above-mentioned
食品	syokuhin	commodity
食事	syokuzi	meal
食卓	syokutaku	dining table
食料	syokuryoo	food
食糧	syokuryoo	food
食材	syokuzai	ingredient
食肉	syokuniku	meat
食堂	syokudoo	dining room
食物	syokumotu	food
食用	syokuyoo	for use as food
食欲	syokuyoku	appetite
食器	syokki	tableware
食費	syokuhi	food expense
食道	syokudoo	esophagus
食後	syokugo	after a meal
食塩	syokuen	table salt
食味	syokumi	taste
食分	syokubun	phase of an eclipse
食酢	syokuzu	vinegar
食通	syokutuu	gourmandism
食前	syokuzen	before meals
食傷	syokusyoo	surfeit
食指	syokusi	forefinger
食前	syokuzen	before meals
食餌	syokuzi	dietary cure
食膳	syokuzen	dining table
食言	syokugen	eat one's words
食券	syokken	meal ticket
食間	syokkan	between meals
食客	syokkyaku	house guest
食紅	syokubeni	red food coloring
飲食	insyoku	food and drink
昼食	tyuusyoku	lunch
夕食	yuusyoku	evening meal
給食	kyuusyoku	provision of lunch
朝食	tyoosyoku	breakfast
会食	kaisyoku	dining together
外食	gaisyoku	eating out
和食	wasyoku	Japanese food
主食	syusyoku	staple food
洋食	yoosyoku	Western-style meal
腐食	husyoku	corrosion
日食	nissyoku	solar eclipse
試食	sisyoku	sampling food
断食	danziki	fasting
肉食	nikusyoku	meat eating
定食	teisyoku	set meal
過食	kasyoku	overeating
草食	soosyoku	herbivorous
飽食	hoosyoku	gluttony
侵食	sinsyoku	encroachment
浸食	sinsyoku	erosion
軽食	keisyoku	light meal
月食	gessyoku	lunar eclipse
寝食	sinsyoku	bed and food
生食	seisyoku	eating something raw
常食	zyoosyoku	daily food
捕食	hosyoku	predation
間食	kansyoku	eating between meals
夜食	yasyoku	supper
粗食	sosyoku	simple diet
餌食	eziki	prey
菜食	saisyoku	vegetable diet
中食	tyuuziki	lunch
偏食	hensyoku	unbalanced diet
衣食	isyoku	food and clothing
欠食	kessyoku	missing a meal
立食	rissyoku	stand-up meal
大食	taisyoku	gluttony
乞食	koziki	beggar
毎食	maisyoku	every meal
雑食	zassyoku	omnivorous
酒食	syusyoku	drink
絶食	zessyoku	fasting
暴食	boosyoku	overeating
小食	syoosyoku	light eating
副食	hukusyoku	side dish
糧食	ryoosyoku	provisions
海食	kaisyoku	marine erosion
少食	syoosyoku	light eating
減食	gensyoku	diet
粉食	hunsyoku	powdered food
風食	huusyoku	wind erosion
悪食	akuziki	eating poor food
蚕食	sansyoku	encroachment
貪食	donsyoku	voracity
節食	sessyoku	eating lightly
徒食	tosyoku	idle life
寄食	kisyoku	parasitism
穀食	kokusyoku	cereal diet
粒食	ryuusyoku	eating rice
水食	suisyoku	erosion
馬食	basyoku	heavy eating
晩食	bansyoku	supper
人間	ningen	human being
人気	ninki	popularity
人物	zinbutu	character
人々	hitobito	each person
人事	zinzi	personnel affairs
人生	zinsei	life
人口	zinkoo	population
人権	zinken	human rights
人材	zinzai	capable person
人工	zinkoo	artificial
人類	zinrui	mankind
人民	zinmin	people
人道	zindoo	humanity
人質	hitoziti	hostage
人数	ninzuu	the number of people
人形	ningyoo	doll
人員	zinin	number of persons
人種	zinsyu	race
人組	ningumi	~-man group
人選	zinsen	personnel selection
人格	zinkaku	personality
人前	ninmae	portion of food
人柄	hitogara	personality
人的	zinteki	human
人脈	zinmyaku	personal connections
人体	zintai	human body
人身	zinsin	the human body
人情	ninzyoo	humanity
人命	zinmei	life
人手	hitode	starfish
人為	zini	human work
人文	zinbun	humanity
人前	hitomae	the public
人出	hitode	crowd
人目	hitome	public gaze
人心	zinsin	human nature
人名	zinmei	person's name
人骨	zinkotu	human bones
人影	hitokage	figure of a person
人妻	hitozuma	married woman
人里	hitozato	human habitation
人災	zinsai	man-made calamity
人力	zinriki	human power
人魚	ningyo	mermaid
人望	zinboo	popularity
人家	zinka	house
人相	ninsoo	physiognomy
人様	hitosama	other people
人波	hitonami	surging crowd
人垣	hitogaki	crowd of people
人達	hitotati	people
人参	ninzin	carrot
人君	zinkun	sovereign
人造	zinzoo	man-made
人知	zinti	human intellect
人称	ninsyoo	person
人月	ningetu	man month
人馬	zinba	men and horses
人徳	nintoku	natural virtue
人肌	hitohada	the skin
人語	zingo	human speech
人足	hitoasi	pedestrian traffic
人後	zingo	behind others
人士	zinsi	well-bred man
人頭	zintoo	the number of people
人畜	zintiku	men and animals
人面	zinmen	human face
人倫	zinrin	human relations
人夫	ninpu	laborer
人人	hitobito	each person
人世	zinsei	this world
人柱	hitobasira	human pillar
人寿	zinzyu	man's life span
人伝	hitozute	hearsay
人中	hitonaka	society
人品	zinpin	personal appearance
人並	hitonami	being average
人別	ninbetu	census-taking
人魂	hitodama	disembodied soul
人声	hitogoe	human voice
人智	zinti	human intellect
人性	zinsei	human nature
人糞	zinpun	human excrement
人外	zingai	uninhabited area
人界	zinkai	world of man
人皇	zinnoo	emperor
人臣	zinsin	subjects
人傑	zinketu	great man
人山	hitoyama	crowd of people
人爵	zinsyaku	worldly honors
個人	kozin	individual
法人	hoozin	corporate body
殺人	satuzin	murder
名人	meizin	master
本人	honnin	the person himself
新人	sinzin	new face
大人	otona	adult
友人	yuuzin	friend
老人	roozin	the aged
知人	tizin	friend
犯人	hannin	offender
他人	tanin	another person
証人	syoonin	witness
夫人	huzin	wife
黒人	kokuzin	black person
成人	seizin	adult
詩人	sizin	poet
主人	syuzin	head
巨人	kyozin	giant
職人	syokunin	worker
軍人	gunzin	military personnel
恋人	koibito	lover
歌人	kazin	poet
婦人	huzin	woman
白人	hakuzin	white person
求人	kyuuzin	offer of job
邦人	hoozin	Japanese national
役人	yakunin	government official
俳人	haizin	haiku poet
故人	kozin	the deceased
無人	muzin	lack of help
美人	bizin	beautiful person
要人	yoozin	important person
真人	sinzin	true man
素人	sirooto	amateur
有人	yuuzin	manned
芸人	geinin	player
別人	betuzin	different person
住人	zyuunin	dweller
隣人	rinzin	neighbour
対人	taizin	personal
同人	doozin	literary group
達人	tatuzin	master
商人	syoonin	trader
愛人	aizin	lover
村人	murabito	villager
浪人	roonin	ronin
先人	senzin	predecessor
囚人	syuuzin	prisoner
楽人	gakuzin	musician
変人	henzin	eccentric
旅人	tabibito	traveller
当人	toonin	the one concerned
鉄人	tetuzin	iron man
病人	byoonin	sick person
悪人	akunin	bad person
原人	genzin	primitive man
公人	koozin	public character
盲人	moozin	blind person
無人	bunin	lack of help
文人	bunzin	person of letters
何人	nanibito	everyone
私人	sizin	private individual
賢人	kenzin	wise man
怪人	kaizin	mysterious person
家人	kazin	the family
番人	bannin	guard
聖人	seizin	saint
恩人	onzin	benefactor
偉人	izin	great man
各人	kakuzin	each person
女人	nyonin	women
小人	kodomo	child
国人	kunibito	indigenous person
凡人	bonzin	ordinary person
町人	tyoonin	townspeople
善人	zennin	good people
外人	gaizin	foreigner
仲人	nakoodo	matchmaker
倭人	wazin	Japanese person
義人	gizin	man
上人	syoonin	holy priest
玄人	kurooto	expert
客人	kyakuzin	caller
罪人	zainin	criminal
古人	kozin	ancient people
武人	buzin	military man
超人	tyoozin	superman
直人	tadabito	ordinary person
余人	yonin	others
米人	beizin	an American
和人	wazin	Japanese person
奇人	kizin	queer fellow
麗人	reizin	beautiful woman
衆人	syuuzin	the people
門人	monzin	pupil
異人	izin	foreigner
死人	sinin	corpse
盗人	nusutto	thief
貴人	kizin	aristocrat
党人	toozin	party man
狩人	karyuudo	hunter
各人	kakuzin	each person
若人	wakoodo	young person
売人	bainin	trader
才人	saizin	talented person
哲人	tetuzin	wise man
唐人	toozin	Chinese person
海人	ama	male diver
旧人	kyuuzin	paleoanthropic man
鳥人	tyoozin	aviator
世人	sezin	the people
狂人	kyoozin	lunatic
両人	ryoonin	both people
行人	koozin	passer-by
山人	sanzin	mountain folk
天人	tennin	nature and man
土人	dozin	natives
廃人	haizin	cripple
良人	ryoozin	husband
佳人	kazin	beauty
野人	yazin	rustic
流人	runin	exile
通人	tuuzin	man of the world
俗人	zokuzin	ordinary people
人人	hitobito	each person
前人	zenzin	predecessor
属人	zokuzin	personal
粋人	suizin	man of the world
里人	satobito	villager
畸人	kizin	queer fellow
下人	genin	low-rank person
舎人	toneri	servant
痴人	tizin	dunce
諸人	morobito	many people
神人	sinzin	gods and men
訴人	sonin	a suitor
雇人	yatoinin	employee
情人	zyoonin	lover
後人	koozin	posterity
用人	yoonin	manager
舟人	hunabito	sailor
牧人	bokuzin	shepherd
偏人	henzin	eccentric person
伶人	reizin	court musician
愚人	guzin	fool
猟人	ryoozin	hunter
士人	sizin	samurai
時人	zizin	contemporaries
船人	hunabito	sailor
傑人	ketuzin	outstanding person
代人	dainin	substitute
我人	warehito	myself and others
偶人	guuzin	puppet
堅人	katazin	square
成人	seizin	adult
騒人	soozin	poet
蕃人	banzin	savage
傍人	boozin	bystander
傭人	yoonin	employee
咎人	toganin	offender
佞人	neizin	flatterer
水準	suizyun	level
水泳	suiei	swimming
水産	suisan	aquatic products
水道	suidoo	water service
水面	suimen	water's surface
水素	suiso	hydrogen
水分	suibun	water
水田	suiden	paddy field
水着	mizugi	bathing suit
水域	suiiki	waters
水質	suisitu	water quality
水中	suityuu	underwater
水害	suigai	water damage
水死	suisi	drowning
水路	suiro	waterway
水深	suisin	depth of water
水平	suihei	level
水曜	suiyoo	Wednesday
水位	suii	water level
水没	suibotu	submerge
水銀	suigin	mercury
水温	suion	water temperature
水上	suizyoo	aquatic
水槽	suisoo	water tank
水源	suigen	source of river
水鳥	mizutori	waterfowl
水辺	mizube	waterside
水力	suiryoku	hydraulic power
水球	suikyuu	water polo
水脈	suimyaku	water vein
水門	suimon	sluice gate
水際	mizugiwa	beach
水墨	suiboku	water and ink
水色	mizuiro	light blue
水晶	suisyoo	crystal
水気	mizuke	moisture
水系	suikei	water system
水難	suinan	drowning
水利	suiri	water supply
水滴	suiteki	drop of water
水圧	suiatu	pressure
水虫	mizumusi	athlete's foot
水爆	suibaku	hydrogen bomb
水筒	suitoo	canteen
水流	suiryuu	water current
水兵	suihei	sailor
水生	suisei	aquatic
水稲	suitoo	wet-land rice
水仙	suisen	daffodil
水車	mizuguruma	water wheel
水玉	mizutama	drop of water
水草	mizukusa	water plant
水底	minasoko	sea or river bottom
水牛	suigyuu	water buffalo
水星	suisei	Mercury
水浴	suiyoku	a bath
水泡	suihoo	foam
水軍	suigun	navy
水口	mizuguti	a spout
水性	suisei	aqueous
水菜	mizuna	mizuna
水雷	suirai	mine
水木	mizuki	dogwood
水腫	suisyu	dropsy
水洗	suisen	rinsing with water
水防	suiboo	flood prevention
水運	suiun	water transportation
水陸	suiriku	land and water
水疱	suihoo	blister
水音	mizuoto	sound of water
水天	suiten	water and sky
水神	suizin	a water god
水心	mizugokoro	knowing how to swim
水冷	suirei	water cooling
水練	suiren	swimming practice
水月	suigetu	water and moon
水葬	suisoo	burial at sea
水盤	suiban	flower basin
水物	mizumono	a liquid
水枕	mizumakura	water-filled pillow
水柱	mizubasira	column of water
水夫	suihu	sailor
水痘	suitoo	chickenpox
水甕	mizugame	water jug
水飴	mizuame	starch syrup
水苔	mizugoke	sphagnum
水瓶	mizugame	water jug
水魚	suigyo	water and fish
水差	mizusasi	pitcher
水蜜	suimitu	white peach
水芸	mizugei	tricks with water
水圏	suiken	hydrosphere
水松	miru	stag seaweed
水雲	mozuku	mozuku
水茎	mizuguki	writing brush
水鶏	kuina	rail
水棲	suisei	aquatic
水火	suika	fire and water
水禽	suikin	waterfowl
水勢	suisei	force of water
水損	suison	flood damage
水油	mizuabura	hair oil
水禍	suika	flood disaster
水食	suisyoku	erosion
水嵩	mizukasa	volume of water
水船	mizubune	water trough
水母	kurage	jellyfish
水薬	mizugusuri	potion
水洟	mizubana	runny nose
洪水	koozui	flood
排水	haisui	drainage
浸水	sinsui	inundation
海水	kaisui	ocean water
潜水	sensui	diving
給水	kyuusui	water supply
治水	tisui	flood control
雨水	amamizu	rain water
降水	koosui	rainfall
浄水	zyoosui	clean water
用水	yoosui	irrigation water
温水	onsui	warm water
放水	hoosui	hosing down
防水	boosui	waterproofing
脱水	dassui	evaporation
香水	koosui	perfume
山水	sansui	mountain and water
汚水	osui	filthy water
出水	syussui	flood
下水	gesui	drainage
冷水	reisui	cold water
増水	zoosui	rising water
貯水	tyosui	storage of water
断水	dansui	water outage
淡水	tansui	fresh water
節水	sessui	saving water
噴水	hunsui	water fountain
利水	risui	irrigation
吸水	kyuusui	water absorption
鼻水	hanamizu	nasal mucus
塩水	ensui	salt water
漏水	roosui	leakage
流水	ryuusui	running water
清水	simizu	spring water
渇水	kassui	water shortage
湖水	kosui	lake
真水	mamizu	fresh water
泥水	doromizu	muddy water
重水	zyuusui	heavy water
配水	haisui	water supply
入水	zyusui	suicide by drowning
親水	sinsui	hydrophilic
名水	meisui	famous mineral water
着水	tyakusui	landing on the water
風水	huusui	Chinese geomancy
上水	zyoosui	water supply
湯水	yumizu	hot and cold water
廃水	haisui	wastewater
氷水	koorimizu	ice water
進水	sinsui	launching
導水	doosui	water conveyance
羊水	yoosui	amniotic fluid
加水	kasui	adding water
送水	soosui	supply of water
耐水	taisui	water-resistant
生水	namamizu	unboiled water
無水	musui	anhydrous
汗水	asemizu	sweat
秋水	syuusui	clear autumn water
破水	hasui	water breaking
垂水	tarumi	waterfall
二水	nisui	"kanji ""ice"" radical"
聖水	seisui	holy water
泉水	sensui	garden pond
揚水	yoosui	pumping up water
軟水	nansui	soft water
行水	gyoozui	tub bath
豊水	hoosui	high water
雲水	unsui	itinerant priest
硬水	koosui	hard water
注水	tyuusui	pouring water
大水	oomizu	flood
疏水	sosui	canal
天水	tensui	rain water
軽水	keisui	light water
胸水	kyoosui	pleural fluid
腹水	hukusui	ascites
疎水	sosui	canal
火水	himizu	fire and water
濁水	dakusui	muddy water
小水	syoosui	urine
溢水	issui	inundation
吃水	kissui	sea gauge
碧水	hekisui	blue water
減水	gensui	subsiding of water
神水	zinzui	water offered to God
領水	ryoosui	territorial waters
霊水	reisui	water
飲水	nomimizu	drinking water
喫水	kissui	sea gauge
平水	heisui	calm water
鉱水	koosui	mineral water
潮水	siomizu	seawater
離水	risui	takeoff
鹹水	kansui	brackish water
王水	oosui	aqua regia
潅水	kansui	sprinkling
遣水	yarimizu	stream
薪水	sinsui	fuel and water
打水	utimizu	sprinkling water
濾水	rosui	filtered water
生活	seikatu	living
生産	seisan	production
生徒	seito	pupil
生命	seimei	life
生物	seibutu	living things
生涯	syoogai	one's lifetime
生存	seizon	existence
生保	seiho	life insurance
生息	seisoku	inhabiting
生態	seitai	mode of life
生後	seigo	post-natal
生誕	seitan	birth
生還	seikan	returning alive
生前	seizen	while alive
生体	seitai	organism
生殖	seisyoku	reproduction
生地	kizi	cloth
生成	seisei	creation
生死	seisi	life and death
生鮮	seisen	fresh
生理	seiri	physiology
生育	seiiku	birth and growth
生計	seikei	livelihood
生家	seika	home
生身	namami	living flesh
生乳	seinyuu	raw milk
生来	seirai	naturally
生長	seityoo	growth
生花	seika	flower arrangement
生食	seisyoku	eating something raw
生気	seiki	life
生薬	kigusuri	crude drug
生業	seigyoo	occupation
生粋	kissui	pure
生者	syoozya	animate nature
生肉	seiniku	raw meat
生糸	kiito	raw silk thread
生母	seibo	one's real mother
生姜	syooga	ginger
生水	namamizu	unboiled water
生硬	seikoo	crude
生起	seiki	occurrence
生魚	namazakana	raw or fresh fish
生動	seidoo	vitality
生新	seisin	fresh
生類	syoorui	living things
生首	namakubi	freshly severed head
生木	namaki	live tree
生垣	ikegaki	hedge
生国	syoogoku	one's native country
生霊	ikiryoo	vengeful spirit
生彩	seisai	brilliance
生酒	kizake	pure sake
生紙	kigami	unsized paper
生録	namaroku	live recording
生々	seisei	lively
生別	seibetu	lifelong separation
生贄	ikenie	sacrifice
生簀	ikesu	fish preserve
生色	seisyoku	healthy complexion
生麩	syoohu	wheat starch
生生	seisei	lively
生娘	kimusume	virgin
生餌	ikie	live bait
生害	syoogai	commit suicide
生硬	seikoo	crude
生爪	namazume	fingernail
生滅	syoometu	birth and death
学生	gakusei	student
発生	hassei	outbreak
再生	saisei	resuscitation
厚生	koosei	welfare
人生	zinsei	life
先生	sensei	teacher
誕生	tanzyoo	birth
年生	nensei	pupil in ... year
衛生	eisei	health
更生	koosei	rehabilitation
一生	issyoo	whole life
出生	syussyoo	birth
野生	yasei	wild
共生	kyoosei	symbiosis
民生	minsei	consumer
半生	hansei	half a lifetime
芝生	sibahu	lawn
新生	sinsei	rebirth
派生	hasei	derivation
院生	insei	graduate student
蘇生	sosei	rebirth
自生	zisei	growing wild
死生	sisei	life and death
写生	syasei	sketching
植生	syokusei	vegetation
寄生	kisei	parasitism
往生	oozyoo	death
終生	syuusei	all one's life
七生	sitisyoo	seven lives
水生	suisei	aquatic
養生	yoozyoo	hygiene
園生	ensei	garden
寮生	ryoosei	boarder
優生	yuusei	eugenic
小生	syoosei	I
回生	kaisei	resurrection
長生	tyoosei	longevity
殺生	sessyoo	killing
早生	wase	early ripening rice
平生	heizei	usual
回生	kaisei	resurrection
未生	misyoo	unborn
現生	gennama	real money
幼生	yoosei	larva
今生	konzyoo	this life
実生	misyoo	seedling
衆生	syuzyoo	living things
蓬生	yomogiu	wasteland
後生	koosei	younger people
有生	yuusei	living thing
蒼生	soosei	the masses
畜生	tikusyoo	beast
胎生	taisei	viviparity
永生	eisei	eternal life
摂生	sessei	hygiene
着生	tyakusei	epiphytic
陸生	rikusei	terrestrial
晩生	bansei	slow growth
埴生	hanyuu	clay soil
畢生	hissei	lifetime
甦生	sosei	rebirth
初生	syosei	firstborn
素生	suzyoo	birth
門生	monsei	pupil
両生	ryoosei	amphibious
化生	kasei	growth
所生	syosei	birth parents
多生	tasyoo	metempsychosis
卵生	ransei	oviparity
互生	gosei	alternate
生生	seisei	lively
他生	tasyoo	previous existence
対生	taisei	opposing pairs
愚生	gusei	I
儒生	zyusei	Confucian scholar
前生	zensyoo	previous existence
叢生	soosei	dense growth
存生	zonzyoo	being alive
西部	seibu	western part
西岸	seigan	west coast
西洋	seiyoo	the west
西側	nisigawa	west side
西口	nisiguti	west entrance
西遊	seiyuu	westward trip
西方	seihoo	western direction
西南	seinan	south-west
西暦	seireki	Christian Era
西端	seitan	western edge
西北	seihoku	north-west
西日	nisibi	westering sun
西下	saika	going west
西瓜	suika	watermelon
西風	seihuu	west wind
西進	seisin	proceeding west
西経	seikei	west longitude
西土	seido	western lands
西紀	seiki	Christian era
西哲	seitetu	western philosopher
西漸	seizen	westward advance
東西	toozai	east and west
南西	nansei	southwest
北西	hokusei	northwest
以西	isei	... and westward
泰西	taisei	the Occident
以西	isei	... and westward
千代	tiyo	thousand years
千里	senri	1000 ri
千尋	tihiro	great depth
千金	senkin	1000 pounds
千鳥	tidori	plover
千秋	sensyuu	thousand years
千歳	titose	millennium
千万	senban	exceedingly
千両	senryoo	1000 ryou
千年	titose	millennium
千古	senko	all ages
千載	senzai	millennium
千万	senman	10,000,000
千鈞	senkin	1000 pounds
千慮	senryo	much thought
百千	momoti	a large number
一千	issen	1,000
川柳	senryuu	senryu
川口	kawaguti	mouth of river
川岸	kawagisi	riverbank
川端	kawabata	riverbank
川面	kawamo	river surface
川底	kawazoko	riverbed
川辺	kawabe	riverside
川原	kawara	dry river bed
川尻	kawaziri	mouth of a river
川幅	kawahaba	width of a river
川下	kawasimo	downstream
川床	kawadoko	riverbed
川瀬	kawase	rapids
川筋	kawasuzi	course of a river
川船	kawabune	riverboat
川縁	kawabuti	riverside
川蝉	kawasemi	kingfisher
河川	kasen	rivers
小川	ogawa	streamlet
谷川	tanigawa	mountain stream
古川	hurukawa	old river
大川	ookawa	big river
山川	yamakawa	mountains and rivers
先発	senpatu	forerunner
先生	sensei	teacher
先月	sengetu	last month
先制	sensei	preempt
先進	sensin	seniority
先行	senkoo	preceding
先頭	sentoo	head
先輩	senpai	senior
先手	sente	the first move
先日	senzitu	the other day
先週	sensyuu	last week
先物	sakimono	futures
先端	sentan	pointed end
先取	sensyu	earning the first
先着	sentyaku	first arrival
先番	senban	precedence
先駆	senku	forerunner
先遣	senken	sending ahead
先祖	senzo	ancestor
先代	sendai	family predecessor
先導	sendoo	guidance
先決	senketu	previous decision
先人	senzin	predecessor
先鋭	senei	radical
先々	sakizaki	distant future
先例	senrei	precedent
先天	senten	inherent
先陣	senzin	vanguard
先見	senken	foresight
先方	senpoo	companion
先達	sendatu	guide
先攻	senkoo	batting first
先鋒	senpoo	advance guard
先任	sennin	seniority
先般	senpan	some time ago
先兵	senpei	vanguard
先議	sengi	initiative
先史	sensi	prehistory
先刻	senkoku	already
先覚	senkaku	learned man
先年	sennen	former years
先約	senyaku	previous engagement
先妻	sensai	former wife
先鞭	senben	initiative
先夜	senya	few nights ago
先程	sakihodo	some time ago
先述	senzyutu	aforesaid
先哲	sentetu	ancient wise men
先王	senoo	the late king
先頃	sakigoro	recently
先学	sengaku	academic predecessor
先山	sakiyama	skilled miner
先師	sensi	former teacher
先途	sendo	crisis in a battle
先入	sennyuu	preconception
先付	sakizuke	appetizer
先夫	senpu	former husband
先賢	senken	ancient sage
先帝	sentei	the late emperor
先様	sakisama	the other party
先君	senkun	previous ruler
先考	senkoo	one's late father
先非	senpi	past sin
先便	senbin	previous letter
優先	yuusen	preference
目先	mesaki	near future
出先	desaki	one's destination
矛先	hokosaki	point of spear
指先	yubisaki	fingertip
祖先	sosen	ancestor
春先	harusaki	beginning of spring
旅先	tabisaki	destination
矢先	yasaki	arrowhead
庭先	niwasaki	in the garden
手先	tesaki	fingers
店先	misesaki	storefront
口先	kutisaki	lip service
幸先	saisaki	omen
軒先	nokisaki	edge of the eaves
機先	kisen	forestall
鼻先	hanasaki	tip of nose
穂先	hosaki	ear
後先	atosaki	front and rear
刃先	hasaki	edge of blade
剣先	kensaki	point of a sword
筆先	hudesaki	tip of brush
舌先	sitasaki	tip of tongue
互先	tagaisen	even game
真先	massaki	the head
爪先	tumasaki	toes
宛先	atesaki	address
舳先	hesaki	bow
筒先	tutusaki	nozzle
矢先	yasaki	arrowhead
肩先	katasaki	shoulder
縁先	ensaki	veranda edge
行先	ikisaki	destination
胸先	munasaki	chest
切先	kissaki	point
前年	zennen	the preceding year
前回	zenkai	previous time
前半	zenhan	first half
前日	zenzitu	previous day
前提	zentei	preamble
前期	zenki	first term
前進	zensin	advance
前月	zengetu	last month
前後	zengo	front and rear
前週	zensyuu	last week
前面	zenmen	front part
前線	zensen	front
前身	zensin	antecedents
前夜	zenya	last night
前衛	zenei	advance guard
前例	zenrei	precedent
前方	zenpoo	forward
前哨	zensyoo	outpost
前文	zenbun	preamble
前者	zensya	the former
前途	zento	future prospects
前作	zensaku	previous work
前列	zenretu	front row
前任	zennin	former
前輪	zenrin	front wheel
前々	maemae	beforehand
前兆	zentyoo	omen
前部	zenbu	front part
前述	zenzyutu	aforementioned
前科	zenka	previous conviction
前記	zenki	aforesaid
前歴	zenreki	personal history
前座	zenza	opening performance
前菜	zensai	hors d'oeuvre
前奏	zensoo	prelude
前段	zendan	preceding paragraph
前妻	zensai	ex-wife
前庭	zentei	front garden
前歯	maeba	front tooth
前髪	maegami	forelock
前言	zengen	previous remarks
前項	zenkoo	preceding paragraph
前編	zenpen	first part
前納	zennoo	prepayment
前世	zensei	antiquity
前足	maeasi	forefoot
前腕	zenwan	forearm
前駆	zenku	outrider
前史	zensi	prehistory
前門	zenmon	front gate
前金	maekin	advance payment
前景	zenkei	foreground
前山	sakiyama	skilled miner
前肢	zensi	forefoot
前掲	zenkei	above-named
前側	maegawa	front side
前人	zenzin	predecessor
前約	zenyaku	previous engagement
前車	zensya	the car ahead
前売	maeuri	advance sale
前代	zendai	previous generation
前額	zengaku	forehead
前章	zensyoo	prior chapter
前説	zensetu	former opinion
前書	zensyo	previous writing
前払	maebarai	payment in advance
前借	zensyaku	getting an advance
前端	zentan	front end
前栽	senzai	garden
前非	zenpi	past folly
前生	zensyoo	previous existence
前翅	zensi	fore-wing
午前	gozen	morning
名前	namae	name
以前	izen	ago
直前	tyokuzen	just before
事前	zizen	prior
手前	temae	before
戦前	senzen	pre-war days
駅前	ekimae	in front of station
人前	ninmae	portion of food
寸前	sunzen	on the verge
生前	seizen	while alive
建前	tatemae	face
空前	kuuzen	unprecedented
人前	hitomae	the public
出前	demae	catering
墓前	bozen	in front of a grave
腕前	udemae	ability
眼前	ganzen	before one's eyes
門前	monzen	before a gate
昼前	hirumae	forenoon
口前	kutimae	way of speaking
従前	zyuuzen	previous
板前	itamae	chef
御前	gozen	presence
気前	kimae	generosity
錠前	zyoomae	lock
面前	menzen	presence
男前	otokomae	handsome man
食前	syokuzen	before meals
神前	sinzen	before god
婚前	konzen	premarital
食前	syokuzen	before meals
産前	sanzen	prior to childbirth
両前	ryoomae	double-breasted
最前	saizen	foremost
同前	doozen	same as above
現前	genzen	before one's eyes
丹前	tanzen	large padded kimono
風前	huuzen	where the wind blows
没前	botuzen	prior to death
持前	motimae	one's nature
割前	warimae	share
夜前	yazen	last night
取前	torimae	share
大会	taikai	convention
大手	oote	major company
大幅	oohaba	big
大切	taisetu	important
大量	tairyoo	large quantity
大使	taisi	ambassador
大事	daizi	important
大人	otona	adult
大型	oogata	large
大変	taihen	very
大臣	daizin	cabinet minister
大半	taihan	majority
大賞	taisyoo	big prize
大勢	oozei	many
大戦	taisen	great war
大国	taikoku	large country
大陸	tairiku	continent
大衆	taisyuu	general public
大胆	daitan	bold
大気	taiki	atmosphere
大海	taikai	ocean
大麻	taima	hemp
大勝	taisyoo	great victory
大宮	oomiya	imperial palace
大地	daiti	ground
大豆	daizu	soya bean
大差	taisa	great difference
大物	oomono	important person
